nickname,age,gender,rate,review
ぁーっー0127さん,20代,女性,5,"まだ食べていませんが期待を込めて☆5
きっと美味しいはず！"
購入者さん,,,5,甘辛い感じで、くせになる辛さで美味しかったです。
モジャモジャ46さん,30代,女性,5,"旨辛！試しに二つ購入したのですが、美味しすぎてすぐにまた注文しました。
辛過ぎる！と初めは思ってもつい箸が伸びてしまい結局完食。
さらにチーズをトッピングしたりネギやのりをかけたりしてアレンジしたりしています。
また絶対リピートします！"
みち4934さん,30代,男性,5,"焼きそば商品うけとりました！
また機会があればよろしくお願いします。
リピートしたいも思います。"
購入者さん,,,4,からいめちゃめちゃからいけど、おいしい。配送はよかったです。おまけもありがとうございます。
購入者さん,,,5,チーズと辛い物の組み合わせが好きなので購入しました。思ったよりも辛かったけど、チーズのお陰？で美味しく頂きました。癖になるかも？又購入したいと思います。
購入者さん,,,4,"チーズの風味がとてもよくおいしかったです。
子供には辛いかもしれませんがマイルドな辛さです。"
fu-mama1108さん,20代,女性,4,"うまうま3日目で来ました
普通のプルダックよりは
チーズのおかげでマイルド…
でも粉チーズついてるだけ
でも美味しいからまたリピします"
購入者さん,,,5,ユーチューブで見て食べたくなり少しマイルドなこちらも購入しました。黒よりはマイルドだけどやっぱり辛くてチーズ入れました。でも美味しいので癖になります！
manawaさん,40代,女性,4,辛いものが苦手ではありませんが、これは辛かった！！食べ終わってもしばらく口がひりひりしました。でも、また食べたいかも・・・？って思います。今度はとろけるチーズを足して食べてみます。
購入者さん,,,5,けっこう辛いです。味は、くせになります。具がないので、野菜を少し入れたら、良かったと思うくらいからかったです。
ゆかりん51Kさん,20代,女性,5,以前から気になっていたラーメンです。まだ食べてませんが、チーズで、まろやかになって、食べるのが楽しみです。
ちゃい08さん,30代,女性,5,からーい作り方はこちらで確認して作りました！辛いけど美味しいです。汗かきながら食べました笑
wini212さん,20代,女性,5,元々好きなラーメンです。既存の辛いものが苦手な方におすすめです。
購入者さん,,,5,"すごい辛いけど、すごく美味しいです。
届くのも早かったです。
無くなったら、また注文したいです。"
購入者さん,,,5,どうしても食べてみたくて購入しました。食べるのが楽しみです。
購入者さん,,,5,チーズ入りは初めてなので楽しみです。。。
購入者さん,,,5,おすすめです辛い食べ物が苦手な妻も、こちらの商品はチーズ入りなのでまろやかな味になり食べることが出来ます。とても美味しくおすすめです。
購入者さん,,,4,"美味い！チーズ無しは以前食べてたので辛さは把握してました。
チーズ入れると確かにまろやかになりますが、
やっぱり辛い（笑）
卵を入れて絡めて食べてみたら、
めちゃくちゃ美味しかったです(・∀・)
辛さは少し引くけど辛さも健在。
クセになるので、辛さに平気な方はオススメです！"
購入者さん,,,5,"今まで食べた韓国ラーメンの中で一番好きです！
一口食べただけですごくすごく辛いけど、チーズが効いているので若干マイルドさもあって食べやすい！
リピしたいです♪"
購入者さん,,,4,辛かった…昔韓国に住んでいて、プルタクは辛くて元々あまり食べられなかったのですが、チーズが入っているので食べられるかなと思い購入してみました。しかし、やはり辛くて全部食べるのに時間がかかりました。辛いのが苦手な方はやめた方が良いと思いますが、辛いのものが好きな方は美味しいと思います。
購入者さん,,,5,辛い…思ってた以上に辛かった〜(涙)  辛かったので卵をからめて食べました。
購入者さん,,,4,チーズラーメンが美味しかったので焼きそばタイプも美味しいのでは？と思い注文してみました。食べていないので４つにしました。
購入者さん,,,4,Good job クールの送料が高いｎがちょっと。。。
購入者さん,,,5,辛いけど美味しいってのを聞いててとても期待してました！やっと届いたので食べるのが楽しみです！
Mato Nguyenさん,20代,女性,4,うまーうまー辛いものが好きな私には美味かったです！また買いたいですよ！&#9825;
購入者さん,,,5,さっそく届きました！食べるのが楽しみです(*´∀｀)
aka1572さん,20代,女性,3,"食べ物が入っているとは思えない包装でしたダンボールはテープ剥がれの跡や、破れている部分があり、使い回していますというようなものでした。商品が何かの袋に包まれているならよかったのですが、中には商品がそのまま入っていました。
管理で実施しているのかは分かりませんが、商品の袋にも穴があり、密閉されているわけではありませんでした。
楽しみに注文しましたが、正直食べたい気持ちはなくなりました。
返品とかは考えていません。
潔癖が少しでもある方には向いてないかもしれませんね。"
購入者さん,,,2,期待していましたが、あまりおいしくなかったです。チーズが特に人工的すぎて無理でした。
購入者さん,,,3,"まあまあ辛かったです思っていたより辛さはありました
美味しかった"
はなん8948さん,30代,女性,3,"うーん旨辛ですが、チーズの苦味？のようなものを感じました。他の種類を食べた事がないので、他のものにも挑戦してみようと思います。
辛いものが好きな方は一度食べてみる価値ありかもです。"
購入者さん,,,3,"口に入れた時は甘辛くてチーズの味もして美味しいと思うんですがじわじわと辛さが増してきます。
私はちょっとヒリヒリして食べきれず、辛いのが好きな娘にあげちゃいました。"
購入者さん,,,3,辛くて一口食べただけで胃が熱くなります。辛ラーメンの方が辛くないです。チーズがあるから食べれると思ってましたが無理でした。
購入者さん,,,3,驚くほど辛かったけど、とても美味しかったです！
購入者さん,,,3,"美味しいけど私には辛すぎました&#128517;途中で牛乳を飲みながらじゃないと食べれなくなり、空きっ腹に食べたらお腹の中もカーッとなっているのが分かるほど 笑
辛いの大好きな方はいいと思います
甘辛いタレにチーズが美味しいです。たまになら食べたくなる！ 笑"
購入者さん,,,3,食べてないのでまだ味はわかりませんが…韓国語表記なのでちゃんと作れるか心配です(；ﾟДﾟ)
購入者さん,,,3,特典も付くし安いので、いつも利用しています。
購入者さん,,,3,すっごく辛い！でも味はいい、次食べる時はソースを加減して食べようと思います。
どんぐり10288632さん,30代,女性,5,辛いです！付属のスープを全部を入れたらとても辛かったので、2回目以降は半分にしたらとても美味しかったです！
購入者さん,,,5,美味しく食べられる辛さです注文して3日目に受け取りました。こちらのカルボだけ食べたことあったのですが普通に辛いのも食べたくて買いました。辛いの大好きなのでそんなに辛くなく美味しくいただきました。
SHILO1981さん,30代,男性,5,口は痛くなるが美味しい食べた後はしばらく舌がいたくなりますが、旨み、酸味、辛味、甘みも全てあって美味しくて病みつきになりそうです。
購入者さん,,,5,"安定の辛さと美味さで大満足です。
迅速な対応ありがとうございました^^"
購入者さん,,,4,"美味しかったです普通に美味しく頂きました。
辛さはありますが、普通に食べれるくらいです。"
購入者さん,,,5,辛いものが苦手な人だと食べるのに苦戦するくらい辛いと思いますが、辛いもの好きであればハマること間違いないと思います。辛いというより痛いという感じで、今まで食べてきたものの中でも一番口腔内への刺激が強かったです。私はすっかりリピーターでほかのシリーズも一緒にまとめ買いしております。
きさんた2938さん,,,4,"美味しい！時々無性に食べたくなるのでストックとして。
大量買でお得"
244LOVE LOVEさん,40代,女性,5,いつもの味厚いときにヒーヒーいいながら食べると本当においしいです
購入者さん,,,5,満足です！配送も予定通り包装もしっかりしていました。
y312さん,50代,男性,5,中国の研修生に、購入です。辛いのが、好きです。
購入者さん,,,5,物凄く辛いです。物凄く辛いので辛いのが苦手な方にはお奨めしませんが、癖になりはまれば定期的に食べたくなる味です。色々なお野菜等いっぱいで痛めると更に美味しかったです。。
みわ901さん,30代,女性,5,"辛ウマでした。韓国人も辛いと評判のブルダック炒め麺、購入から時間が経ってしまいましたがやっと食べることができました。
味は甘みのある辛さ、出汁感のあるしっかりした味なので、トッピングにこだわっても大丈夫です。
口の中が火事になるくらい辛いのかと思ってましたが、普通に美味しい。
ジャージャー麺ぽく食べてもいいかと思います。
私はコンビニのサラダチキンとピーマン炒めをトッピング。
辛いもの好きの友人も満足したようです。
また購入したいと思います。"
購入者さん,,,4,"丁度よい辛さ。これの2倍の辛さの物（赤い袋）は辛すぎてギブアップしましたが、こちらは一般的なレベルの激辛で求めていた丁度よい辛さでした。
麺は太縮れ麺でプルプルモチモチです。
味はあまり深みはないですが、日本の焼きそばの様に、気軽に食べられる味です。
日本語の表記が無く作り方が分からなかったので、ネットで調べました。
【作り方】鍋に600mlの水を沸騰させたら麺を入れ5分茹で、茹で汁を8サジ分程度残して余分な汁は捨て（実際は煮詰まるのであまり捨てる分は無いかも）、そこにタレを足して混ぜながら30秒程度炒める、最後に付属のフリカケをかける、との事。（※間違ってたらすみませんが、これで作れました。）"
購入者さん,,,4,"安定のうま辛さです。しっかりはっきりとした味です。
お湯を残しぎみで絡めて食べるのが好きです。
歯ごたえのある麺がいいですね。
辛いのに慣れていないと苦戦すると思いますが、韓国でおなじみのチーズをからめたり卵を割って入れるとまろやかさが足され味の相性もいいのでヒーヒー言って食べてた家族にその食べ方をお勧めしました。"
がんばろうこゆきさん,40代,女性,5,"クセになる旨い辛い旨い辛い旨いって感じです
辛いですが、甘味と辛味が絶妙"
rudi_suzukiさん,20代,男性,5,Domo arigatougozaimashita
購入者さん,,,5,よかったいつも買ってます！美味しいし安心で購入しております！ありがとうございます！
購入者さん,,,5,美味しい中国の研修生が、美味しく近くに、販売店が、無いので、購入です。
購入者さん,,,4,3度目のリピートとにかく美味しくてすぐ無くなります。前に3パック(計15袋)購入したんですが、今回も同じ数を購入しました。手違いで数が合わなかったんですがすぐに対応して頂いて感謝です。またよろしくお願いします。
購入者さん,,,5,"やみつきになりますどうしましょう？この辛さの虜です。
そのままでは十分辛すぎるので、牛乳やチーズ、たまごなどアレンジして食べるのが好きです。
家族はヒーヒーしながら食べるのが楽しみなようです。
リピのサイクルがどんどん短くなってきてるので、また購入します。"
えむおmさん,40代,男性,5,"辛さと甘さ辛いものが得意な方には辛さの奥に甘味があり、癖になります。
苦手な方にはちょっと無理かもですが一度チャレンジしてみてはいかがでしょうか。"
Gabsssさん,20代,女性,5,満足です配送が早くて、本物です。辛くて甘い。好きです。辛い物が好き人におすすめ。ありがとうございました。
購入者さん,,,5,やっぱり美味しい当日発送で次の日の午前中に届きました！辛いんだけど、なんか甘みがあってとても美味しい。前に一回食べてハマっちゃって、今回は3袋購入しました。またお願いします。
購入者さん,,,5,よいです。辛いけど、美味しいです。もっと、安いと嬉しいです。送料の金額が、安いと嬉しいです。
購入者さん,,,5,"とても良かったです！辛くて美味しいです！
辛いの苦手な旦那もご飯と一緒に食べれば食べれるって。笑
配送も早かったです。とても良かった。もっと安くして欲しいけどね。また買います^ - ^"
RmNさん,20代,男性,4,"早かった早く届いて嬉しいです。
本当に辛かったが美味しいです。"
購入者さん,,,4,"美味しかった！美味しかったです！
辛いの苦手な人にはオススメ出来ないですがw
リピートしたいです"
購入者さん,,,5,"おすすめおすすめ。
早く発送しました、
品実もいいです。"
購入者さん,,,5,色んなレビューを見ても辛さの比が分からなかったので他のものと比べると、ペヤングの激辛が食べれる方は辛さが物足りないかと思います。ジャージャー麺のような甘さが私は苦手なのですが、こちらの甘味はどちらかと言うとうま味で感じる甘さでとても美味しかったです。ヘクの方も注文したので辛さはそちらに期待したいと思います。
TともさんMさん,20代,女性,5,リピートです(^_^)大変迅速な対応をしていただき、ありがとうございました！いつも届くのが早く、嬉しいです。以前同じ商品を他のお店で購入したのですが、こちらのお店と比べられないくらい連絡、対応、発送が遅くこちらのお店がどれだけしっかりしているか実感致しました。また購入させていただきます！
TOM-Zさん,30代,男性,1,"パッケージ破損パッケージやぶれてます。
送る時に検品とかしないの？
してないんだろうね。
あ〜私こういうの結構むりなんだよな〜('A`)"
購入者さん,,,3,"早く届きました商品のパッケージが違いました。型落ちのものでしょうか？何処に説明があったのかな？味も配送期間も問題ありませんでした。小さなダンボールにパンパンに入って来ました笑笑
とりあえず、食べてみたかったのでよかったです。お友達にも分けようと思いましたがパッケージが違うからあげられないのが残念です。"
328りんりんさん,40代,女性,3,"辛い辛いお酒のおつまみに食べました！
とても、美味しく頂きました。  辛いのが大好きなので痛いくらい美味しかった"
購入者さん,,,3,"購入してすぐに商品が届きましたが、全く違うものでした。
メール連絡後、取り替えてもらいましたが、
今後は、この様な間違いが、ない様にして欲しいものです。"
himituno5252さん,20代,,3,"もうちょっと安くーこれ大好きなんです！
ただ、私の近所には全然売ってないー（新大久保にはあった）
送料も含めるとかなりの額になるから安くしてほしいです（ ;  ; ）"
購入者さん,,,5,"リピおいしいのでリピートしています
たまに無性に激辛が食べたくなります"
購入者さん,,,5,"おいしい！すごく好きでリピしています。お皿も真っ赤になるのでカップにしています＾＾；
もうこの辛さには慣れてしまいました。"
32108002さん,40代,女性,4,"辛い袋麺のポックンミョンと、少し違いました。袋麺の方が好きですが、カップは便利ですね。
もう少し安かったら沢山買いたいです。"
こほ0307さん,40代,女性,5,美味しくて病みつきです。何度もリピートしてます。
Dujnさん,40代,女性,5,辛くてとても美味しい辛くてとても美味しいです。次回は別の味を購入してみます。
購入者さん,,,4,"想像していたより、ものすごく辛い！
辛いのが好きな娘は満足でしたよ。"
購入者さん,,,5,おいしい！最初はヒーヒーいってましたが、味はおいしくてリピートしてたら辛いのはすごく辛いけど慣れてよりおいしく食べれるようになりました^^;
購入者さん,,,4,楽チン袋タイプもありますが、カップだと食べたいときに手早く作れるので重宝しています。時々無性に食べたくなるのでまとめ買いしました。
こほ0307さん,40代,女性,5,何度もリピート中の商品です。とても美味しいです。
こほ0307さん,40代,女性,5,思った通りの辛さと美味しさで何度もリピートしてます。
購入者さん,,,4,"美味しい。思っていたより辛くなかったです！
クセになる味でした。
また購入したいです。"
にっちゃママさん,40代,女性,5,美味しい。舌がぴりぴりするけど美味しいです。もうリピートしました。
購入者さん,,,5,最高辛かったのですが、すごく美味しくて購入して良かったなと思いました。
2170さん,30代,女性,4,"辛いの好きな方おすすめ！辛いだけじゃなく、味もあります！
辛さは、ペヤング焼きそばの激辛の辛さと同じくらい！
ストレスある時に辛いの食べたくなりますね。"
ねごへさん,30代,女性,5,"初めてのカップタイプ昔ブルダック炒め麺の袋のタイプを食べたときあまりにも辛くて食べるのに時間がかかったので、まず辛さが控えめなカップタイプを試してみようと思って買ってみました。
辛いものに耐性ができたのか、それとも袋タイプよりも辛さがかなり控えめなのか、辛くなくて拍子抜けしました。普通に美味しい辛めの焼きそばみたいな感じです。炒める手間もないので食べるのも楽！
次はまとめ買いしたいです。"
あまつひさん,30代,女性,5,"普通に美味しいです！某激辛焼きそばよりも、美味しくて食べやすい！
辛さを求めると人によってはきちんと【辛い！】となるかも？
個人的には辛さからくる発汗がとても爽やかな汗だったので幸せでした♪
辛いの苦手だけど試したい、そんな人は溶き卵や粉チーズ、飲み物は牛乳を準備して食べてみましょう！
また食べたいかも…次は二倍に挑戦します！！"
購入者さん,,,5,リピートお皿も真っ赤になるのでカップの方を購入しました！激辛だけどおいしい！
ゆかりん4771さん,40代,女性,4,"作り方が...作り方は携帯で調べて作りました。
結構適当でもつくれます。
個人的には袋のラーメンの方がモチモチ感があって美味しいと思います。
あたしのたくり方がちがうのかな？"
購入者さん,,,5,"からめ湯切りの部分を慎重に穴をあけないと危険！
でもおいしいです。少しお湯を残すのがおすすめ。"
msyすたさん,30代,女性,5,"辛いけどおいしい！激辛ですが癖になります。
おいしいです！発想も早くて包装もきれいで値段も安い方なので次回もここで注文したいと思います"
kohhnさん,20代,女性,5,"旨辛！！大好きなシリーズのカップ麺盤を見つけたので
これは職場で食べれる！と思い2セット購入しました。
また購入すると思います。"
購入者さん,,,5,"旨辛！！！！！韓国のカップラーメンの中で一番辛いと聞いて買ってみました！
旨辛でめちゃくちゃ美味しいです！"
購入者さん,,,5,かなり辛いですが…思ったよりもかなり辛いですが、美味しいです！今度は『箱』で買いたいと思います。
購入者さん,,,5,辛さは激辛ペヤングよりちょっと辛いかなという程度で、個人的にちょうどよかったです。湯切り方法が解らなかったのですが印のついてる部分を箸とかで穴を開ける形式なのはちょっと驚きましたがゴミが出なくて合理的だと思いました。甘辛くてまた食べたくなる味です。
購入者さん,,,3,普通にカップラなので食べやすい。作り方はネットを参考にしましたが湯切りの際、日本便利だなーと感じます。
購入者さん,,,3,"まだ届いてないので楽しみです
辛いものが好きな方に
お土産用に
購入しました
届くのが楽しみです"
ヤマちゃん1001さん,60代,男性,3,辛いがやみつきに辛いだけでうまみにかけますが、やみつきです。
舞舞ままさん,50代,男性,5,リピートしてして購入しています。一番安く購入できるので満足です。
舞舞ままさん,50代,男性,5,辛ラーメンも好きですがやはりこれは辛いけど癖になる旨さっていうやつです。リピートです。
我mamaさん,20代,女性,4,"発送メールが来なかった！！発送が少し遅いので問い合わせしたが返信が来なかった！
その後すぐに商品が届いたのでホッとしましたが…。
本当にありがとうございました！
プルダックポックンミョン最高！！！"
舞舞ままさん,50代,男性,4,"送料無料だと良いですね。辛ラーメンと一緒に今度は購入します。
唇が痛くなるくらい辛いです。"
舞舞ままさん,50代,男性,5,"送料無料にするために辛ラーメンと一緒にいつも書います。唇が痛くなるくらい辛いです。
娘は平気で食べてます。"
購入者さん,,,5,"ドハマり！何度もリピしています。
インターネットで知り興味本位で食べてみたところ本格的に辛いだけでなくきちんと美味しい出汁の味がする！という事でもうやみつきです。
インスタントでは中途半端な辛さや辛味に負けて出汁の味が死んでいたりしますがこちらの炒め麺は辛さも出汁も両方がドストライクでした。
ただ辛いものが得意ではない彼氏に出したところ一口で汗が吹き出し涙目になりながら食べていたので、辛いものが得意でない方は注意しながら食べてください。
まろやかな味を楽しみたいときは、ごま油を和えたりチーズを乗せたり卵を落としたり海苔を振ったりいろいろとアレンジして食べています。
汁なしなのも猫舌の私にはピッタリです。
スープがない分辛さと味がダイレクトに来るのが最高です。
買ったところですが、なくなったらまたリピします。"
購入者さん,,,5,辛いですが辛いラーメンですが、妙にハマります。息子もハマってしまって、２人で一箱食べてしまいました。
購入者さん,,,5,旨い！！韓国で人気のラーメンということで頂いたんですが、激辛だけど美味しくて今回購入しました。とにかく辛いし痛い！だけど旨い(*^_^*)辛いの好きな人にはオススメです。
himawari2525himaさん,30代,女性,4,想像以上の辛さどうしても食べてみたくてこちらのショップで見つけて購入しました。想像以上の辛さでした。味はとても美味しいので色々アレンジして食べています。またお願いしたいです。
U3725さん,20代,女性,5,めっちゃ美味しいです。辛いの好きならこの量でもすぐ無くなります。また買います！
trananhtung30さん,20代,男性,5,"発送が早い、
品実も大丈夫です。
おすすめます。"
ぁーっー0127さん,20代,女性,5,"美味しすぎて大人買いしてしまいました。
またお願いします"
購入者さん,,,5,特に問題なく届きました。おいしく頂いています。また頼みたいです。
購入者さん,,,4,"いいです発送も早いしよかったです。
ラーメン美味しいかったよ。"
購入者さん,,,5,ケース買いのリピです。とにかく激辛で大好き！暑い夏にはたまらないですね。今回はクーポンで更に安くなったので良かったです。
購入者さん,,,5,やっぱり辛くて美味しい!!この辛さが忘れられなくて、また注文しました。
購入者さん,,,5,辛いとにかく辛いです。辛いもの好きにはピッタリです。韓国のお土産で頂いて、この辛さが忘れられず思い切って大人買いしました。
購入者さん,,,5,美味しいお土産でもらって、はまってしまい、食べたくなって買いました！今まで食べた激辛の中で1番辛いです(ノ_＜)
購入者さん,,,2,正味期限が短い1箱なので1年位正味期限が欲しかったです。
1179光学迷彩さん,40代,男性,4,満足してくれた自分はイマイチですが、お相手が気に入ってくれたので良かった。
購入者さん,,,5,汗が出る辛さ普通の韓国のインスタントはあまり辛いと思わないのですが、これは辛くて汗が出ました。野菜などを絡めると美味しいです。
REVOLUTION HAS COMEさん,40代,女性,4,"痛辛いYouTubeでこれにチャレンジしてる動画を見て、買ってみました(o^^o)
麺は日本のインスタントより太くてモチモチしてます。
正規の作り方より長めに火を通してしまいましたが、モチモチ感は凄かったです。食べごたえがあります。
辛いと言うよりは、痛いです(*ﾟ∀ﾟ)
辛さは思ったほどではなかったけど、とにかく口の中が痛くて後半は麺をすするのが辛くなってきました(笑)。
味は美味しかったけど正直痛くて良く覚えてません^^;
美味しさよりかこの辛さがクセになるのかも知れませんね。"
購入者さん,,,5,"美味しい。どれだけ辛いんだろう・・という先入観から
怖くて食べられずにいたのですが
どうしても食べてみたくて注文をしました。
私は辛いものがすごく好き！というわけではないのですがとても美味しかったです。
１食分を食べ終わる最後の２口くらいでヒーヒーなりましたが
食べ終わってしばらくするとす〜っと口の中のヒリヒリがひいて
爽快感にかわりました。ヒリヒリもとれました。
これ以上辛いタイプはまだ美味しくいただく勇気がありませんが
この商品はゆっくり食べ切ってまたリピすると思います。"
購入者さん,,,5,太麺で量も多くて食べごたえがあります。相当辛いですが、嫌な辛さではないのでついまた食べたくなります。
購入者さん,,,5,大好き!これが好きすぎて毎日食べていたら吹き出物が出てきました。それでも食べたいけど…しばらくお休みします。
ポジティブサイクさん,20代,女性,5,"リピートです一度買ってとても好みの商品だったのでまとめてたくさん購入しました。
少し手間と時間がかかりますがそれ以上の美味しさが味わえます。
カップ麺のものとはやっぱり違います。
麺がもちもちで、こちらの方が好きです。
これを食べてる時が幸せです。"
購入者さん,,,5,"やっぱり美味しい↑↑辛い！でも、美味しい！
エゴマの葉にくるんで食べるのが大好きです♪
いつも思うのですが、スプーン8杯ってサイズは〜？（笑）お好みでいいのかな？ちなみに久々に食べたけど、中くらいのサイズのスプーン8杯は辛かった。次回はもう少し増やしてみようかな♪"
購入者さん,,,5,"クセになる辛さ！以前から気になっていたこの商品。購入してすぐ食べてみました！
一口食べて汗が止まらなく、牛乳3杯飲んで途中でチーズマヨネーズを麺にかけて食べました笑
でもこれはきっとリピすると思います。"
購入者さん,,,5,"辛うまです！以前から気になっていた商品です。
翌日配送ですぐに届きました♪さっそく食べてみましたが､けっこう辛いですね(^_^;)野菜を入れたり温泉卵と一緒に食べるのがおすすめです♪クセになる辛さです！"
購入者さん,,,5,辛い辛い痛いですがおいしい！動画サイトではブルダックチャレンジみたいなのたくさんあって、罰ゲーム的な辛さです。
購入者さん,,,5,すごく美味しい辛いのが大好きです、すごく美味しいです、次まだ来ます。
購入者さん,,,5,"くせになるこれは辛い！
唇がピリピリしてほんと辛かった。
でも、くせになりそう…"
かな110717さん,40代,女性,5,"辛いソースを半分なら大丈夫と聞いていたので半分で挑戦。
すごく辛い辛すぎて口が麻痺しました。
でも味はすごく美味しくて辛くても食べたくなる辛さ。
無くなったらまた購入したいです。"
購入者さん,,,5,"このプルダック麺は物凄く辛い
ですが一度ハマったらクセに
なる美味しさです。
またすぐにリピしたいです。"
購入者さん,,,5,やみつきになる味辛いのは人並みレベルなので食べた瞬間に口の中がヒリヒリし、しばらくは口を閉じていられない位辛いですが、この甘辛い味がやめられなくなってしまいました。激辛好きの会社の人は更に唐辛子入れて食べたそうです・・・
購入者さん,,,5,"激辛です韓国で必ず買うインスタント麺です。
辛いし痛いけど、旨辛なソースが好きでいつも涙目になりながら食べてます(*^^*)"
購入者さん,,,4,激辛！辛いもの大好きでyoutubeで知ってすぐ購入！届くのも早くて麺がもちもちでなにより激辛の激ウマ！本当にクセになります！なかなかこの辛さはない！笑 卵とチーズを入れてもまたまろやかで美味しい！欲を言えば送料がもう少し安かったらなあっ、、てくらいです！リピ買いしてます！
購入者さん,,,5,"辛いけど美味だと、うちのお客さんから大好評です。
私は激辛すぎて、三口くらいしかたべられませんが。
でも旨みを感じます。"
あ51671045さん,,,4,"動画で見て食べたくなって調べたらあったので
買ってみましたが、そんな辛くないなーと思ったら後から辛さが来て美味しかったです！
楽天様々です笑"
購入者さん,,,5,"美味しいYouTuberの方などたくさんの方が辛いと言っていて気になってました。辛いものが大好きなので購入しましたが、全然辛くなかったです笑
味は美味しかったです！"
excheonさん,20代,女性,5,"初めて注文しました。
年末の帰省にあわせて注文しましたが、希望納期に合わせていただきありがとうございました。
やっぱり日本製品にはないこの辛さが大好きです！
他の味も食べたいです。"
miki-eunhae44さん,20代,女性,4,ブルタックいつも買ってます。大好きです。
あずき3919さん,20代,女性,4,"辛い！辛いです！でも癖になる！
辛さを例えるなら…
セブンイレブンで限定発売されていた
蒙古タンメン中本の北極！？！？
位でしょうか。もう少し辛いかな？"
sayuuwさん,20代,女性,5,かなり辛いすごく辛いのを食べたくて購入、タレ全部入れました。口から火が出ました。タレは甘辛でなかなか美味しかったがとにかく辛い。さすが本場韓国のインスタント麺。辛い。辛い。タレは半分ほどいいかと。で、残りは何か野菜炒めとかに使えそうです。
購入者さん,,,5,"ありがとうございます配送も早くてすぐ届きました！
ありがとうございます。"
チェリー8849さん,30代,女性,4,とても対応が、早くて良かったですとても美味しかったです、また、きかいがあれば、リピしたいです
購入者さん,,,4,辛い辛いものが大好きですが、辛すぎて唇も口の中もピリピリ。かなり辛いものが好きじゃないと食べれないかも
r1mama03さん,20代,女性,4,"ほんとに辛い!!辛いの好きで注文してみました!
ほんとにめちゃ辛かった(>_<)
けどくせになる感じ(*´∀`)♪"
くりーむぱん！さん,40代,女性,4,"思ったよりは辛くない。辛い物が大好きな息子に頼まれて購入しました。
到着して早速作ってみました。
う〜ん…辛いけど全然平気みたいです。
みんなが辛い！辛い！と言うほど辛くないらしいです。
味も美味しいと言っていたので、辛い物が得意な人には
いいんじゃないでしょうか。"
はるなつままさん,40代,女性,5,まだ食べてないけどずっと気になっててやっと購入。楽しみです。
購入者さん,,,5,辛いものが好きな私には最高に美味しかったです
購入者さん,,,4,辛いけど食べたくなる１回食べたことがあってまた食べたいのと、友達にも食べさせたいと思って頼みました。チーズとかのせて食べてみたいと思います。
購入者さん,,,5,"とにかく辛い(^w^)辛ラーメンが大好きで、よく食べてるのですが、新しい商品にトライ！
かやくと辛いタレを入れるフツーのカップ麺ですが、他の口コミを参考にタレは半分だけにしましたが、それでもかなり辛かったです。"
購入者さん,,,4,"再購入しました。
辛いものが好きなので前回購入して結構気に入ったのでまた
購入しました。
結構辛いですが鶏肉風味で癖になる辛さです。"
購入者さん,,,4,"届いたのでさっそく食べてみました。
皆さんが書かれていた通り辛かったですが普通に美味しくいただきました。
激辛ペヤングは全然辛くなかったのですがこれは辛いと感じたので
買って食べて良かったと思いました。
もう少し辛い方が良いので次はこれにジェロキア一味をいれて食べて見たいと思います。"
ヤマちゃん1001さん,60代,男性,3,激辛？思っていたより辛くありません。正直余り美味しいとは？韓国語で書かれていて作り方が分かりません。輸入ですので。
くまきち3256さん,40代,男性,3,"辛い美味しいですが、かなり辛い。口から火が出るくらい辛かった。
チーズを入れたりしましたが、かなり辛い。たれを半分位が、ちょうどいい感じでした"
購入者さん,,,5,辛い辛いけど美味しいです。自分はスープありのがいいです。
あちゅら7990さん,20代,女性,5,"これは…これは美味しすぎる…。
辛いと言うよりは食べた瞬間ニンニクのパンチが強い！！
辛いの苦手な人は食べれるかは微妙ですけど辛いの得意＋ニンニク好きな人なら好きなはず！！
最後ご飯なんて入れてクッパにしたら…（中毒になります）
1度買ってみるのはアリかと思います☆彡.。そして19日に注文して21日に届くと言う速さ！大満足です！ありがとうございます☆"
ムニャ1130さん,40代,女性,4,良いです商品の梱包、品ぞろえ文句ありません。ただ、一緒に買った別のインアスタント麺の麺がバラバラになっていたので、星４こです。
わんこ0330さん,40代,女性,5,辛くて箸が止まります。でも、病みつきになりそうです。
Dichさん,30代,女性,5,かなり辛いと評判なので少し食べきれるか不安だったのですが、辛いだけでなくウマイです。まさにウマ辛。辛いのが得意でない方は、チーズやマヨネーズで辛さを緩和させれば美味しく食べられると思います。
購入者さん,,,5,辛いでも、普通に食べれます。もっと辛いかと思った（＾_＾）そのうちまたリピートします
購入者さん,,,5,"うまからい！インスタで食べている人を見て興味があって購入。ちょっと辛いけどいける！カルボナーラのやつより辛くなかった気がする。付属の粉末入れなかったからかな笑
ただ単に辛いんじゃなく、ちゃんと旨味がある中での辛さなのでクセになる！買って良かった。"
購入者さん,,,5,"単品で買って美味しかったのでリピートしました
ニンニク風味の激辛スープで美味しいです
買う前までは普通のプルダック麺の味のスープなら嫌だな…
と思って手を出しませんでしたが試してみて良かった(笑)
トック等、色々入れても美味しいと思う"
pero*1976さん,40代,男性,5,プルダで一番好き麺が太めでもちもちしてて日本にはない感じリピート決定
みーすけ4678さん,20代,女性,5,リピート中です送料がかかってもわざわざ購入したくなる美味さです。日本のインスタントラーメンにはないです。辛さの中に旨味もあり麺もモチモチで、いつもまとめて購入しています。炒麺よりも個人的にはこちらの方が味も辛さも好みです。
