nickname,age,gender,rate,review
冬哉さん,30代,女性,5,職場の激辛大好き仲間にもお裾分けしました♪まだ食べてませんが楽しみです。
購入者さん,,,5,"リピートです[受注番号] 243254-20140723-0594067319
前買って美味しかったのでリピートします。友達にもお気に入りみたいです"
Trace128さん,30代,女性,4,送料対策のため購入。かなり辛いとわかっていながら……。早速昼に頂きます！
購入者さん,,,4,味はいいが……初めの二口くらいは、まじで美味しい。が………、あまりの辛さにやけどしそうでした。初め辛さを甘く見ててソース全部いれて、付属のかやくのみで作ったら全部食べきるのが大変でした。次からはソースを半量に減らし、野菜やチーズを混ぜて食べました。確かにソースを全部入れた方が味がしっかりして美味しいと思いますが、この辛さは絶対体に悪いと思いますので、くれぐれも食べ過ぎないように……
購入者さん,,,4,"味は美味しいが味は甘辛くてとても美味しいですが、激辛という程ではありませんでした。
パッケージの裏の通りに作ると甘さの際立った甘辛い味になりますが、茹で汁を全部捨ててソースを絡めるとそれなりに辛くなります。作り方によって印象がかなり変わります。
激辛とまではいきませんでしたが、元々の味が美味しいので普通に味わって食べられました。"
RieiNさん,30代,女性,4,美味しい送料が…でもとっても辛くて美味しいです。病みつきになる！
拓220さん,40代,女性,5,確かに辛い…けど美味しいです。辛い中に甘みも感じられました。麺がモチモチしていてすごく美味しくて、日本のインスタントものより全然美味しいと思いました。私はかなり辛いもの好きなのでスープなしで作りましたが、汗をかくまではいかなかったです。辛いもの好きな方は是非食べてみて下さい。日本にはない辛さですよ。オススメ。
購入者さん,,,4,からうまー！プルタク炒め麺、かれこれ一年前から気になってました！韓国にも旅行でちょくちょく行くくせに、何故かマートに無かった(^_^;)こちらで見つけて即買い！お昼に実家で食べました！母親はギブ、父と二人で食べました。家族も韓国にたくさん行っていて辛いものは慣れてるのにこの麺は辛すぎて(笑)チキンのうまみがある最高な炒め麺です！
ぴすたちお。さん,20代,女性,5,"いい！彼氏とハマってしまって、皆に配ってます（笑）
お湯入れずに、焼きそば感覚で普通に炒めたほうが、辛くて美味しい(＞＜)"
Daisybeesさん,20代,女性,4,大変満足です希望通りの商品でした。是非またリピートしたいです。
ゆうみ1023さん,30代,女性,5,ハマリました！この辛さと味にハマリました！またリピします！
恋歌8116さん,,,5,"初めての韓国ラーメンです&#128518;&#128518;
今から食べるのが楽しみです&#128518;&#128518;"
まぁー032973さん,40代,女性,5,まだ食べてないけど激辛そうだから期待を込めて星5つ！楽しみだな〜
購入者さん,,,4,"辛くて甘いたまに食べたくなります
お汁を少し多めにして最後ご飯と卵にチーズを入れて食べるのが大好き"
ＭＳマドンナさん,60代,女性,4,"初めて買います^ ^チーズをたっぷり入れてみようと思ってます^ ^
絶対美味しいはず&#10083;期待を込めて星4つ&#8265;"
購入者さん,,,4,"美味しかったです辛いものが好きなのでとでもおいしかったですが、辛さが物足りないと感じたので次はもっと辛い物にチャレンジしてみます。
袋もしっかりしていて、麺も茹でていてほぐれやすかったですよ。
肝心の味は甘辛で辛いだけでなく甘さや旨味もしっかり感じられました。"
購入者さん,,,5,"大好きです韓国で購入して、ハマりました。
辛いけど美味しい
癖になります"
購入者さん,,,5,"辛旨いビックリするほど辛かったです&#8252;
でも旨味があり、辛いけと旨い…を繰返し
汗と止められない涙を流しながら完食しました。
本当に本当に大満足な味でした。
辛いもので痛いと思ったのは久しぶりでした。
またリピします。"
19895142さん,20代,女性,5,甘辛くて、美味しいです。辛いもの好きな方にオススメです。
小馬0795さん,20代,女性,5,今のところ、可もなく不可もなくといったところです。満足しています
カクン4488さん,20代,男性,5,辛かったこの焼きそばは本当に辛いです、満足しました。
購入者さん,,,5,"病みつきです。ストックがないと不安になるくらい家族でハマってます。
豆乳、玉子、チーズを使ったカルボナーラ風が家族に好評です。
でも高カロリーなのでそろそろ控えなければ…と思いつつ、また注文してしまいました。"
購入者さん,,,5,"やめられない。止まらない辛いけど美味しい！いろんなバリエーションをたのしんでいます。
豆乳を使ったレッドカルボナーラ風が辛味がまろやかになり、自分も家族もハマってます。"
kikibaby1203さん,20代,女性,5,"辛かった！！とにかく！！
とろけるチーズ2枚いれたら辛さも残り食べやすくてぺろりでした&#128154;"
umiioさん,20代,女性,5,"おいしい麺がもちもちしてておいしいです
ソースは半分にして食べると美味しく食べられます！"
Junyongさん,20代,男性,5,try it入力した内容に不備があります。全角20〜1000文字で入力してください。
ruru_yuさん,40代,女性,5,"辛いけど癖になる日本のインスタントラーメンにはない刺激的な辛さと、麺のコシの強さがクセになります。
リピートしてます。
チーズと卵でまろやかにしてから食べると、"
あゆ2772さん,20代,女性,4,辛いとても辛いです でも美味しかった^_^ 又買います
購入者さん,,,4,"人気商品のようなので、気になって買ってみました。
すごく辛くてびっくりしました!!
一口食べる毎に、口の中がヒーヒーになって、ピリピリしてきます。
韓国風スパゲッティ？みたいな感じで、
甘さもあっておいしいのですが、
ちょっと辛すぎなので、リピできないです（泣）"
Ｈ-ヒロさん,40代,男性,4,辛すぎ♪辛くてパッケージの絵みたいにロから火を吹きそうでした。でも、美味しい☆
購入者さん,,,5,"ものすごい発汗作用辛いのが好きな人でも汗をダラダラ流して食べていました。ほぼ汁なしで作りましたが玉子やチーズなど色々トッピングしがいがあります。
辛いけど旨味もあるから美味しいです。"
fu-mama1108さん,20代,女性,4,"辛いー痛いーうま初めて買いました
涙がでそうになるくらい辛い
辛さに強いと思ってたけど
そんなことないみたいでしたw
美味しいからまた買います(^-^)/"
shopping勉強中さん,20代,女性,5,美味しい辛いですが、美味しいです！大満足でした！！
チヨウヤンヤンさん,20代,女性,5,美味しいです、私は辛いラーメンがすきですインタネットこのラーメン大人気、買いました。美味しいです。
Mato Nguyenさん,20代,女性,5,美味しかったです！激辛ものが好きな人にオススメです！めっちゃくちゃ美味しいです！辛いものが食べられない人にもオススメです！作る時にソースのパックの半分で使ってくださいって美味しいですよ！
購入者さん,,,5,配送が早かった辛いものが大好物で注文しました。また食べてないですがアシアで大人気のラーメンの味が期待です。
もこ1993さん,20代,女性,5,"大好き！留学中に韓国人の友人に食べさせてもらったのが始まりなんですが、最初は辛すぎて食べれませんでした。
ですが、一年たった頃に何か食べたくなってきた…ということで購入。
この辛さがクセになりますね。辛いの大好き！！
リピート確定です。"
購入者さん,,,5,"本日無事に届きました。返信できずにすみませんでした…
色々とありがとうございました。
またそのうちリピしまーす(^o^)"
購入者さん,,,5,"辛い！けどやみつき！！は噂通りでした^^ｂ
クセになる辛さですね。"
