date,time,user_name,text,link,retweet_counts,favorite_counts
2020-03-02,10:48:51,txt1st,팬라 스포 초성 네글자 비밀임돠ㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,https://twitter.com/txt1st/status/1234430460362539008,0,0
2020-03-02,10:48:17,cubeunited,"[ ] HI★스포 “가장 소중한 선물” #육성재, 멜로디를 위한 ‘#그날의_바람’ 출처 : 한국일보 | 네이버 TV연예 http://naver.me/Gs3GHhlr",https://twitter.com/cubeunited/status/1234430319488405504,963,3194
2020-03-02,10:47:55,lucyopp1227,하느님캐해석: 예수 구름에 타라. 무책임하고 지멋대로인 그의 애비 덕분에 스포하자면 예수도 뒤짐 또 스포하자면 다시 살아남,https://twitter.com/lucyopp1227/status/1234430229516410880,0,0
2020-03-02,10:47:45,beom2night,스포해달라고 댓글 쓴 보람 있다. . . 흑,https://twitter.com/beom2night/status/1234430186247970817,0,0
2020-03-02,10:47:32,himysweetie,울아가들 스포해도되는 짬이있음?,https://twitter.com/himysweetie/status/1234430132380565510,1,16
2020-03-02,10:47:22,in__twilight,칄흒 던전스포 나랑 백님 어제 무숙 열었는데 ○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○ 라서 역시 이것도 이든이가 있어서 그러네 함 (픎백든렙) ,https://twitter.com/in__twilight/status/1234430090760507392,0,3
2020-03-02,10:47:11,whayal_bot,장면이 10개는 잘렸대서 사야겟어ㅡㅡ 물론 맘같아선 어벤져스 풀셋을....아오 마블 강도놈들아,https://twitter.com/whayal_bot/status/1234430043389980672,0,0
2020-03-02,10:47:11,i_kvl,난 진짜 아커만 생각만 해도 눈물이 나옴 근데말하는 스포니까조심히하는걸로...,https://twitter.com/i_kvl/status/1234430042031001601,0,0
2020-03-02,10:46:22,gongcha___,스포는 딱 이정도까지만...,https://twitter.com/gongcha___/status/1234429837646786560,0,0
2020-03-02,10:46:15,the_spacebest13,"해적2 남길 진짜 안나오는구나,,, 그럼 해적2 대박쳐서 해적 3을 만들라니까??해적 3에 1,2 배우 모이게해서 조선판 어벤져스 만들든가,,,",https://twitter.com/the_spacebest13/status/1234429809612095488,0,0
2020-03-02,10:45:59,may_kyda,믿소마 봤습니다 스포없는 후기: 뭐임??? 뭐임????? 뭐임????? 그래 머..... 그래..... 뇌 빼고 보면....... 아니 시발 뭐임??????? 아항이요? 여기서요? 네? 고추덜렁이요? 네? 포토톡이요? 네? 뭐..... 그래.... 니가 웃으면 나도 조아................. ,https://twitter.com/may_kyda/status/1234429741135826944,0,8
2020-03-02,10:44:52,diddnfxkfl1,아직 스토리안미신분들 저지그뮤스포짱많어서 뮤트하시는걸 추천...,https://twitter.com/diddnfxkfl1/status/1234429458196529152,0,0
2020-03-02,10:44:46,alone_to_speak,앗 스포는 제갛..... 모타게써요... ,https://twitter.com/alone_to_speak/status/1234429434758721537,8,23
2020-03-02,10:44:29,HrGDmlrLAzThU8V,요런 꿀정보 정말정말감사하지만 이정도 스포 괜찮은건가요?,https://twitter.com/HrGDmlrLAzThU8V/status/1234429363505885185,0,0
2020-03-02,10:44:28,bears_maneul,에이스 기대주 이영하…두 번째 실전 '151km-5K' (출처 : 스포티비뉴스 | 네이버 스포츠) http://naver.me/FzNWdQYo 3이닝 2피안타 5탈삼진 1실점을 기록했다. 11타자를 상대하면서 공은 36개를 던졌다. 와 영하 개잘했네 오늘... 2피안타가 이흥련 정수빈한테 2루타인거 빼고는 완벽했네..,https://twitter.com/bears_maneul/status/1234429360465039360,4,2
2020-03-02,10:44:12,lovebymelo,아놔이거먼뜻임 파파고애 복붙하려고해도 당연히 복사금지걸려잇어서ㄱ- 아아악 알면 스포인가??아아궁금해 ,https://twitter.com/lovebymelo/status/1234429293863690240,0,0
2020-03-02,10:42:25,jriefangirl,아직 안들엇다니까 몹시 스포를 하고싶군아..^^ — 어허~ 스포금지 근데 계정 살리니까 모르고 싶어도 몇개는알아지더라 쩝 ,https://twitter.com/jriefangirl/status/1234428842309292033,0,0
2020-03-02,10:41:51,Danmo42_,교복 디자인 공개하고싶다 스포충에바 김단모,https://twitter.com/Danmo42_/status/1234428699333689344,0,2
2020-03-02,10:41:50,3min_narak,아헊 우웄 그럼 스포 안 밟으시게 좀 더 조심해야겠어요 진비님 스댐스댐,https://twitter.com/3min_narak/status/1234428696204677120,0,0
2020-03-02,10:41:33,369958_609,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아하긴.....유능한메이드(스포)니까요.............,https://twitter.com/369958_609/status/1234428623773257729,0,0
2020-03-02,10:40:59,Angel_05_2308,지하군 스포당했는데 스포가 ㅈㄴ 충격적이고 소름돋앗다 하지만 전 스포 안하는 착한 친규,https://twitter.com/Angel_05_2308/status/1234428481561169920,0,1
2020-03-02,10:40:37,SGang_beer,제가ㅠㅠ 쿠션없는 당일스포를 잘...못봅니다..ㅠㅠ! 너무 자주보이면 블블후 뮤트할게용!~~!,https://twitter.com/SGang_beer/status/1234428388514754560,0,0
2020-03-02,10:40:28,_raining_day,후님ㅠㅠㅜㅜㅜㅜ울지 마세요 눈물 닦아드리기.. 한번쯤 속아주시라고 첫장부터 보시라고 써뒀는데 사진 올리니까 다 스포된 것 같아 포기했어요ㅋㅋㅠ,https://twitter.com/_raining_day/status/1234428353085468672,0,0
2020-03-02,10:40:12,mehrtine,죽은 계정 찾아서 실황+스포계를 만들었습니다 스포상관없이 제가 겜하면서 혼자 난리치는걸 보고 싶은 분들은 딱히 플텍 걸어두지 않았으니 부담없이 구경하고 가셔요 @mehrtine_ssul,https://twitter.com/mehrtine/status/1234428287071309825,0,0
2020-03-02,10:39:39,chocobros_ff15,7R 관련 단어들 스포무서워서 잠시 뮤트해둘게요ㅠㅠ,https://twitter.com/chocobros_ff15/status/1234428148030160898,0,1
2020-03-02,10:39:25,gongcha___,"조그만하게 스포하자면 달고나가 올라가요,,, 치즈올라가는것도 있어요!",https://twitter.com/gongcha___/status/1234428086592012289,0,0
2020-03-02,10:38:49,in__twilight,내가 여섯번째 기억하는게 일곱번째가 쌍둥이자리 아트마거든요 진심 존나 개 안나오는 거임 아니 근데 이ㄱㅓ 다음 말하는 건 스포인가 혹시 모르니 후세터 가져와야할듯,https://twitter.com/in__twilight/status/1234427937731969026,0,0
2020-03-02,10:38:36,yamadora_hh,(역재3-5스포)생각해보니까 치히로랑 치나미는 ○○○○○○○○○○○ ○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○ ,https://twitter.com/yamadora_hh/status/1234427883377975296,0,1
2020-03-02,10:36:42,sam_030_909,"아 씆,.,.,.스포 당했다,.,.,.,. 시바,.,.,...",https://twitter.com/sam_030_909/status/1234427403855728640,0,0
